x: 77,3000	f: 0,0000
x: 77,4000	f: 0,0000
x: 77,5000	f: 0,0000
x: 77,6000	f: 0,0000
x: 77,7000	f: 0,0000
x: 77,8000	f: 0,0000
x: 77,9000	f: 0,0000
x: 78,0000	f: 0,0000
x: 78,1000	f: 0,0000
x: 78,2000	f: 0,0000
x: 78,3000	f: 0,0000
x: 78,4000	f: 0,0000
x: 78,5000	f: 0,0000
x: 78,6000	f: 0,0000
x: 78,7000	f: 0,0000
x: 78,8000	f: 0,0000
x: 78,9000	f: 0,0000
x: 79,0000	f: 0,0000
x: 79,1000	f: 0,0000
x: 79,2000	f: 0,0000
x: 79,3000	f: 0,0000
x: 79,4000
